Churn,Tenure,City_Tier,Service_Score,Account_user_count,account_segment,Complain_ly,Day_Since_CC_connect,cashback
0,1.0,3.0,4.0,5.0,4.0,1.0,4.0,177.0
0,31.0,3.0,3.0,4.0,6.0,0.0,15.0,288.0
0,2.0,1.0,3.0,6.0,4.0,0.0,6.0,193.0
0,0.0,2.0,2.0,3.0,3.0,0.0,1.0,127.0
1,0.0,3.0,3.0,5.0,4.0,1.0,7.0,166.0
0,16.0,1.0,3.0,6.0,4.0,0.0,1.0,168.0
0,1.0,1.0,3.0,4.0,3.0,0.0,2.0,196.24
0,23.0,3.0,4.0,4.0,4.0,0.0,5.0,170.0
0,21.0,3.0,3.0,3.0,0.0,0.0,0.0,225.0
0,7.0,1.0,4.0,5.0,3.0,1.0,3.0,153.0
0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,116.0
0,10.0,2.0,4.0,5.0,4.0,0.0,1.0,198.0
0,9.0,3.0,3.0,4.0,4.0,0.0,10.0,172.0
0,30.0,1.0,2.0,1.0,0.0,1.0,4.0,196.24
1,1.0,3.0,3.0,5.0,4.0,1.0,11.0,171.0
0,25.0,1.0,3.0,4.0,0.0,0.0,3.0,258.0
0,0.0,3.0,2.0,3.0,4.0,0.0,7.0,162.0
0,26.0,3.0,3.0,4.0,0.0,1.0,4.0,196.24
1,0.0,1.0,2.0,4.0,3.0,1.0,0.0,133.0
0,9.0,1.0,3.0,5.0,3.0,0.0,3.0,149.0
0,20.0,3.0,2.0,3.0,4.0,0.0,7.0,150.0
0,18.0,1.0,3.0,4.0,1.0,1.0,2.0,196.24
0,0.0,3.0,2.0,4.0,4.0,0.0,3.0,143.0
0,14.0,1.0,4.0,5.0,4.0,0.0,1.0,159.0
0,11.0,1.0,3.0,4.0,4.0,0.0,7.0,156.0
0,3.0,1.0,3.0,2.0,3.0,0.0,3.0,156.0
0,11.0,1.0,2.0,1.0,3.0,0.0,3.0,127.0
0,17.0,3.0,3.0,3.0,4.0,0.0,0.0,150.0
0,9.0,2.0,2.0,3.0,3.0,0.0,4.0,121.0
0,5.0,3.0,3.0,4.0,4.0,0.0,1.0,199.0
0,11.0,3.0,4.0,5.0,4.0,0.0,1.0,191.0
0,11.0,1.0,2.0,3.0,4.0,0.0,7.0,165.0
0,7.0,1.0,3.0,4.0,3.0,0.0,11.0,154.0
0,11.0,1.0,2.0,4.0,4.0,0.0,2.0,163.0
1,19.0,3.0,3.0,4.0,5.0,1.0,9.0,269.0
1,0.0,3.0,2.0,3.0,4.0,1.0,7.0,159.0
0,7.0,3.0,3.0,5.0,3.0,0.0,3.0,148.0
0,18.0,1.0,3.0,4.0,4.0,0.0,8.0,159.0
1,3.0,3.0,3.0,4.0,4.0,1.0,1.0,177.0
0,16.0,1.0,4.0,4.0,4.0,0.0,9.0,171.0
0,10.0,1.0,2.0,3.0,4.0,0.0,2.0,160.0
0,2.0,3.0,3.0,4.0,4.0,0.0,5.0,167.0
0,0.0,1.0,2.0,3.0,3.0,0.0,2.0,135.0
0,12.0,1.0,3.0,4.0,3.0,0.0,1.0,156.0
0,5.0,1.0,3.0,4.0,4.0,0.0,3.0,167.0
0,6.0,3.0,4.0,6.0,0.0,0.0,3.0,221.0
0,29.0,3.0,2.0,4.0,4.0,0.0,0.0,156.0
0,5.0,1.0,2.0,4.0,4.0,0.0,4.0,128.0
0,26.0,1.0,3.0,4.0,4.0,0.0,5.0,156.0
0,11.0,3.0,2.0,4.0,4.0,0.0,5.0,152.0
0,7.0,1.0,2.0,4.0,3.0,0.0,7.0,135.0
1,0.0,1.0,2.0,3.0,3.0,1.0,0.0,132.0
0,6.0,1.0,2.0,4.0,3.0,0.0,0.0,120.0
0,0.0,1.0,3.0,3.0,6.0,1.0,10.0,271.0
0,5.0,1.0,3.0,4.0,2.0,0.0,0.0,130.0
0,26.0,1.0,2.0,3.0,6.0,1.0,3.0,282.0
0,9.0,1.0,3.0,3.0,4.0,1.0,1.0,147.0
0,14.0,1.0,2.0,3.0,3.0,1.0,0.0,148.0
0,17.0,3.0,4.0,5.0,0.0,0.0,1.0,259.0
0,0.0,3.0,3.0,1.0,4.0,1.0,4.0,146.0
0,17.0,1.0,4.0,5.0,4.0,1.0,9.0,166.0
0,16.0,3.0,3.0,3.0,4.0,0.0,7.0,160.0
0,1.0,1.0,3.0,3.0,3.0,0.0,3.0,153.0
1,0.0,1.0,2.0,4.0,3.0,0.0,0.0,114.0
0,12.0,1.0,3.0,4.0,0.0,1.0,1.0,206.0
0,0.0,3.0,2.0,3.0,4.0,0.0,1.0,143.0
0,0.0,2.0,2.0,3.0,3.0,0.0,6.0,123.0
0,1.0,1.0,4.0,2.0,4.0,0.0,5.0,169.0
0,29.0,1.0,3.0,5.0,1.0,0.0,1.0,321.0
0,9.0,1.0,2.0,1.0,3.0,0.0,0.0,130.0
0,28.0,1.0,2.0,4.0,1.0,0.0,0.0,290.0
1,1.0,1.0,3.0,4.0,3.0,0.0,1.0,1907.0
0,11.0,1.0,2.0,4.0,0.0,1.0,2.0,183.0
0,9.0,1.0,3.0,3.0,3.0,0.0,1.0,147.0
0,20.0,3.0,2.0,3.0,4.0,1.0,7.0,142.0
0,24.0,1.0,2.0,4.0,0.0,0.0,7.0,225.0
0,1.0,3.0,3.0,4.0,4.0,0.0,3.0,177.0
0,9.0,1.0,3.0,4.0,4.0,1.0,5.0,186.0
1,1.0,1.0,4.0,4.0,3.0,0.0,1.0,196.24
0,18.0,1.0,3.0,3.0,3.0,0.0,2.0,123.0
0,15.0,1.0,3.0,4.0,1.0,0.0,1.0,296.0
1,12.0,1.0,4.0,5.0,0.0,1.0,1.0,179.0
0,1.0,1.0,3.0,5.0,3.0,0.0,2.0,164.0
0,28.0,1.0,4.0,4.0,4.0,1.0,5.0,169.0
0,3.0,2.0,3.0,5.0,0.0,0.0,10.0,210.0
0,7.0,1.0,3.0,3.0,4.0,0.0,3.0,161.0
0,5.0,1.0,3.0,4.0,3.0,0.0,4.0,159.0
0,9.0,1.0,3.0,4.0,4.0,0.0,3.0,173.0
0,26.0,1.0,3.0,5.0,6.0,0.0,1.0,1908.0
0,22.0,3.0,2.0,4.0,6.0,0.0,3.0,232.0
0,18.0,1.0,3.0,3.0,0.0,0.0,7.0,175.0
0,30.0,1.0,3.0,4.0,6.0,0.0,2.0,242.0
0,13.0,3.0,3.0,3.0,1.0,0.0,12.0,280.0
0,3.0,1.0,3.0,6.0,4.0,0.0,8.0,222.0
0,7.0,1.0,4.0,4.0,2.0,0.0,7.0,153.0
0,17.0,1.0,2.0,3.0,3.0,1.0,3.0,129.0
0,18.0,1.0,2.0,3.0,4.0,0.0,8.0,146.0
0,6.0,1.0,2.0,1.0,3.0,0.0,6.0,131.0
0,9.0,3.0,3.0,4.0,4.0,0.0,3.0,168.0
0,15.0,1.0,2.0,3.0,1.0,0.0,14.0,289.0
0,22.0,1.0,2.0,4.0,0.0,0.0,0.0,151.0
0,28.0,1.0,3.0,4.0,1.0,0.0,3.0,325.0
0,0.0,1.0,2.0,3.0,3.0,0.0,2.0,139.0
0,9.0,1.0,3.0,6.0,3.0,0.0,4.0,168.0
0,29.0,1.0,3.0,3.0,3.0,0.0,3.0,130.0
0,15.0,1.0,2.0,2.0,4.0,1.0,2.0,167.0
0,16.0,1.0,3.0,4.0,3.0,1.0,3.0,150.0
0,6.0,3.0,4.0,4.0,3.0,0.0,1.0,153.0
0,21.0,3.0,4.0,4.0,4.0,1.0,3.0,171.0
0,19.0,3.0,3.0,3.0,0.0,0.0,7.0,205.0
0,19.0,3.0,4.0,4.0,0.0,1.0,3.0,233.0
0,6.0,1.0,4.0,2.0,4.0,0.0,4.0,177.0
0,31.0,1.0,3.0,6.0,4.0,0.0,3.0,182.0
0,0.0,1.0,3.0,3.0,3.0,0.0,3.0,126.0
0,2.0,1.0,3.0,4.0,4.0,1.0,2.0,155.0
1,1.0,1.0,3.0,5.0,3.0,0.0,4.0,151.0
0,15.0,1.0,3.0,1.0,4.0,0.0,0.0,159.0
0,5.0,3.0,3.0,4.0,3.0,0.0,3.0,154.0
1,7.0,1.0,2.0,3.0,3.0,0.0,2.0,126.0
0,24.0,2.0,2.0,3.0,6.0,1.0,10.0,240.0
1,1.0,1.0,3.0,4.0,0.0,1.0,8.0,261.0
0,20.0,3.0,4.0,6.0,6.0,1.0,8.0,301.0
0,16.0,1.0,2.0,3.0,4.0,0.0,0.0,148.0
0,9.0,1.0,2.0,1.0,3.0,1.0,1.0,136.0
0,7.0,1.0,3.0,5.0,3.0,0.0,3.0,163.0
0,7.0,1.0,4.0,4.0,4.0,1.0,1.0,190.0
0,0.0,1.0,2.0,4.0,3.0,1.0,3.0,129.0
0,10.0,1.0,4.0,4.0,3.0,0.0,3.0,150.0
0,9.0,1.0,3.0,2.0,3.0,0.0,2.0,148.0
0,2.0,1.0,3.0,4.0,3.0,0.0,0.0,127.0
0,1.0,1.0,3.0,4.0,4.0,0.0,1.0,186.0
0,4.0,1.0,4.0,5.0,3.0,0.0,4.0,163.0
0,19.0,3.0,3.0,3.0,6.0,0.0,9.0,273.0
0,2.0,3.0,2.0,3.0,4.0,0.0,9.0,146.0
0,4.0,3.0,3.0,4.0,0.0,0.0,4.0,222.0
0,26.0,3.0,3.0,5.0,6.0,0.0,17.0,294.0
0,0.0,3.0,2.0,3.0,4.0,0.0,2.0,150.0
0,30.0,3.0,2.0,1.0,4.0,1.0,9.0,159.0
0,15.0,1.0,2.0,3.0,1.0,0.0,14.0,296.0
0,9.0,1.0,3.0,4.0,4.0,1.0,8.0,165.0
0,17.0,1.0,3.0,4.0,4.0,0.0,1.0,178.0
1,0.0,1.0,3.0,3.0,3.0,1.0,0.0,126.0
0,20.0,1.0,4.0,5.0,4.0,1.0,8.0,171.0
0,29.0,3.0,3.0,5.0,1.0,0.0,14.0,321.0
0,19.0,3.0,2.0,1.0,6.0,0.0,8.0,236.0
0,0.0,1.0,3.0,1.0,3.0,0.0,1.0,134.0
0,12.0,3.0,3.0,4.0,4.0,1.0,4.0,182.0
0,4.0,3.0,3.0,3.0,4.0,1.0,5.0,166.0
0,1.0,1.0,3.0,5.0,4.0,0.0,8.0,193.0
0,16.0,1.0,3.0,4.0,4.0,1.0,3.0,182.0
0,6.0,1.0,3.0,3.0,4.0,1.0,0.0,169.0
0,22.0,1.0,2.0,3.0,1.0,1.0,2.0,293.0
0,18.0,1.0,4.0,4.0,3.0,1.0,2.0,155.0
0,31.0,1.0,3.0,3.0,0.0,1.0,5.0,223.0
0,11.0,1.0,2.0,3.0,4.0,0.0,0.0,1807.0
0,7.0,3.0,3.0,4.0,4.0,0.0,3.0,189.0
0,7.0,1.0,3.0,3.0,6.0,0.0,9.0,274.0
0,7.0,2.0,2.0,4.0,4.0,0.0,3.0,196.24
0,22.0,3.0,3.0,3.0,4.0,0.0,3.0,206.0
0,25.0,1.0,3.0,5.0,0.0,0.0,8.0,250.0
0,4.0,1.0,4.0,4.0,3.0,0.0,5.0,154.0
0,18.0,2.0,3.0,5.0,4.0,0.0,3.0,188.0
0,27.0,1.0,2.0,3.0,0.0,0.0,8.0,207.0
0,29.0,1.0,3.0,3.0,6.0,1.0,9.0,238.0
0,13.0,1.0,3.0,4.0,4.0,0.0,0.0,136.0
0,11.0,3.0,2.0,4.0,4.0,0.0,5.0,140.0
1,1.0,1.0,4.0,4.0,3.0,1.0,8.0,158.0
1,12.0,1.0,3.0,4.0,4.0,0.0,3.0,150.0
1,0.0,1.0,3.0,5.0,4.0,0.0,0.0,196.24
0,31.0,3.0,4.0,5.0,0.0,0.0,12.0,231.0
0,13.0,3.0,2.0,5.0,4.0,0.0,1.0,210.0
0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,130.0
0,16.0,1.0,3.0,5.0,4.0,1.0,3.0,187.0
0,12.0,2.0,4.0,4.0,3.0,0.0,9.0,151.0
0,12.0,1.0,3.0,4.0,4.0,0.0,1.0,196.24
0,21.0,2.0,4.0,4.0,1.0,0.0,1.0,322.0
0,7.0,1.0,3.0,3.0,3.0,0.0,3.0,130.0
0,99.0,3.0,3.0,4.0,3.0,0.0,3.0,164.0
0,8.0,3.0,3.0,4.0,3.0,1.0,1.0,147.0
1,0.0,1.0,3.0,4.0,3.0,1.0,2.0,147.0
0,9.0,3.0,2.0,3.0,4.0,0.0,0.0,174.0
1,1.0,3.0,3.0,5.0,0.0,0.0,1.0,228.0
0,5.0,1.0,3.0,1.0,4.0,0.0,3.0,154.0
0,12.0,1.0,3.0,4.0,4.0,0.0,10.0,146.0
0,20.0,1.0,3.0,3.0,3.0,0.0,2.0,138.0
1,7.0,1.0,2.0,3.0,3.0,1.0,3.0,196.24
0,22.0,3.0,3.0,2.0,4.0,0.0,3.0,206.0
0,19.0,3.0,3.0,4.0,4.0,0.0,2.0,174.0
1,0.0,3.0,3.0,3.0,4.0,0.0,2.0,157.0
0,3.0,3.0,4.0,4.0,3.0,0.0,1.0,151.0
0,10.0,1.0,2.0,1.0,3.0,0.0,3.0,140.0
0,17.0,1.0,2.0,4.0,0.0,0.0,10.0,200.0
0,15.0,1.0,3.0,4.0,3.0,0.0,9.0,153.0
0,7.0,1.0,2.0,3.0,4.0,0.0,10.0,147.0
1,0.0,1.0,2.0,3.0,3.0,1.0,1.0,124.0
0,30.0,3.0,2.0,3.0,4.0,0.0,2.0,156.0
1,9.0,3.0,3.0,3.0,0.0,0.0,7.0,173.0
0,9.0,3.0,3.0,4.0,0.0,0.0,0.0,181.0
0,15.0,3.0,4.0,4.0,6.0,0.0,9.0,296.0
0,11.0,1.0,3.0,3.0,3.0,0.0,2.0,127.0
1,1.0,1.0,3.0,5.0,3.0,0.0,1.0,138.0
0,2.0,3.0,2.0,3.0,4.0,0.0,2.0,169.0
0,14.0,1.0,4.0,4.0,6.0,0.0,17.0,293.0
0,8.0,1.0,3.0,3.0,3.0,0.0,0.0,120.0
0,1.0,1.0,4.0,5.0,3.0,0.0,1.0,159.0
0,9.0,1.0,4.0,4.0,4.0,0.0,1.0,196.24
0,5.0,1.0,2.0,3.0,4.0,1.0,8.0,162.0
0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,121.0
0,16.0,3.0,3.0,4.0,4.0,0.0,6.0,179.0
0,13.0,3.0,3.0,4.0,0.0,0.0,0.0,197.0
0,1.0,1.0,4.0,6.0,3.0,0.0,3.0,148.0
0,14.0,1.0,3.0,4.0,3.0,0.0,4.0,149.0
0,9.0,1.0,4.0,2.0,3.0,0.0,3.0,169.0
0,14.0,3.0,3.0,6.0,4.0,0.0,2.0,239.0
1,0.0,3.0,3.0,4.0,2.0,1.0,2.0,122.0
0,1.0,1.0,3.0,4.0,3.0,0.0,1.0,151.0
0,2.0,1.0,3.0,3.0,3.0,0.0,2.0,145.0
0,12.0,1.0,2.0,3.0,4.0,0.0,7.0,145.0
1,1.0,1.0,3.0,5.0,3.0,0.0,1.0,136.0
1,0.0,1.0,2.0,3.0,3.0,0.0,7.0,132.0
0,11.0,1.0,2.0,4.0,0.0,0.0,1.0,222.0
0,21.0,3.0,3.0,2.0,6.0,0.0,3.0,288.0
0,14.0,2.0,3.0,4.0,1.0,0.0,6.0,291.0
1,1.0,3.0,3.0,4.0,3.0,0.0,1.0,139.0
0,24.0,1.0,2.0,4.0,3.0,0.0,7.0,129.0
0,7.0,1.0,4.0,4.0,4.0,1.0,2.0,41.0
0,8.0,3.0,3.0,6.0,4.0,0.0,13.0,175.0
0,9.0,1.0,3.0,3.0,0.0,0.0,7.0,171.0
0,0.0,1.0,3.0,3.0,3.0,0.0,4.0,123.0
0,15.0,1.0,2.0,3.0,4.0,1.0,2.0,157.0
0,7.0,1.0,3.0,5.0,4.0,0.0,3.0,168.0
0,24.0,1.0,4.0,4.0,6.0,0.0,8.0,311.0
0,99.0,2.0,2.0,5.0,0.0,0.0,3.0,198.0
0,23.0,3.0,3.0,5.0,6.0,0.0,4.0,256.0
1,3.0,1.0,3.0,3.0,3.0,1.0,3.0,196.24
0,12.0,3.0,3.0,4.0,4.0,1.0,4.0,182.0
0,30.0,1.0,4.0,4.0,1.0,0.0,3.0,324.0
0,16.0,1.0,3.0,5.0,4.0,0.0,5.0,170.0
0,7.0,3.0,3.0,1.0,4.0,0.0,8.0,174.0
0,11.0,3.0,3.0,3.0,0.0,0.0,13.0,206.0
0,25.0,1.0,2.0,3.0,4.0,0.0,4.0,131.0
0,1.0,1.0,3.0,4.0,3.0,0.0,3.0,132.0
0,20.0,3.0,2.0,3.0,4.0,0.0,0.0,130.0
0,1.0,1.0,3.0,4.0,2.0,0.0,1.0,144.0
0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,131.0
0,12.0,1.0,3.0,3.0,4.0,0.0,7.0,157.0
0,17.0,3.0,2.0,1.0,6.0,1.0,3.0,233.0
1,14.0,3.0,3.0,5.0,0.0,1.0,1.0,237.0
0,11.0,3.0,3.0,3.0,0.0,0.0,13.0,210.0
0,10.0,1.0,3.0,5.0,4.0,1.0,3.0,214.0
0,10.0,1.0,2.0,4.0,4.0,0.0,3.0,157.0
1,0.0,1.0,2.0,4.0,4.0,1.0,1.0,162.0
0,7.0,3.0,2.0,4.0,4.0,0.0,3.0,175.0
0,5.0,1.0,3.0,4.0,3.0,0.0,2.0,126.0
0,8.0,1.0,3.0,5.0,3.0,0.0,1.0,155.0
0,7.0,3.0,3.0,4.0,4.0,0.0,2.0,170.0
0,8.0,3.0,4.0,4.0,4.0,0.0,3.0,1879.0
0,0.0,3.0,2.0,3.0,3.0,0.0,6.0,121.0
0,13.0,1.0,3.0,4.0,4.0,0.0,8.0,168.0
0,3.0,1.0,2.0,5.0,3.0,0.0,2.0,196.24
0,6.0,3.0,4.0,4.0,4.0,0.0,3.0,170.0
1,20.0,1.0,2.0,4.0,3.0,1.0,0.0,124.0
0,10.0,1.0,3.0,3.0,3.0,0.0,3.0,135.0
0,2.0,1.0,2.0,4.0,3.0,0.0,2.0,129.0
0,15.0,3.0,4.0,4.0,0.0,1.0,3.0,203.0
0,0.0,1.0,2.0,4.0,3.0,0.0,0.0,129.0
0,13.0,1.0,3.0,3.0,4.0,0.0,8.0,150.0
1,9.0,1.0,4.0,4.0,3.0,1.0,8.0,159.0
0,3.0,1.0,4.0,4.0,4.0,0.0,2.0,196.24
0,18.0,3.0,2.0,4.0,4.0,0.0,3.0,144.0
0,12.0,1.0,3.0,5.0,2.0,0.0,4.0,151.0
0,18.0,1.0,2.0,3.0,3.0,1.0,2.0,152.0
1,0.0,3.0,2.0,5.0,3.0,0.0,0.0,124.0
0,0.0,3.0,3.0,3.0,4.0,1.0,4.0,163.0
0,11.0,1.0,4.0,5.0,4.0,0.0,1.0,180.0
0,13.0,1.0,4.0,4.0,4.0,1.0,9.0,195.0
0,14.0,2.0,2.0,5.0,4.0,0.0,2.0,164.0
1,8.0,1.0,4.0,4.0,0.0,0.0,6.0,211.0
1,1.0,3.0,3.0,5.0,4.0,0.0,4.0,159.0
1,1.0,3.0,4.0,3.0,4.0,1.0,5.0,178.0
1,1.0,1.0,4.0,4.0,4.0,1.0,8.0,187.0
0,7.0,3.0,3.0,2.0,0.0,1.0,9.0,215.0
0,27.0,1.0,3.0,2.0,6.0,0.0,4.0,279.0
0,2.0,3.0,3.0,4.0,4.0,1.0,6.0,180.0
0,26.0,1.0,2.0,3.0,4.0,0.0,2.0,125.0
0,23.0,3.0,3.0,5.0,6.0,0.0,4.0,260.0
0,9.0,1.0,4.0,5.0,0.0,0.0,4.0,211.0
0,5.0,3.0,2.0,3.0,4.0,1.0,2.0,145.0
1,7.0,1.0,3.0,5.0,3.0,1.0,1.0,154.0
0,11.0,1.0,3.0,4.0,4.0,0.0,3.0,189.0
0,14.0,1.0,2.0,3.0,3.0,1.0,17.0,151.0
0,12.0,1.0,2.0,3.0,4.0,0.0,8.0,150.0
0,30.0,1.0,3.0,3.0,0.0,0.0,4.0,205.0
0,23.0,1.0,2.0,5.0,6.0,1.0,9.0,249.0
0,9.0,1.0,3.0,6.0,6.0,1.0,10.0,269.0
1,1.0,1.0,3.0,4.0,3.0,1.0,7.0,167.0
1,9.0,3.0,2.0,3.0,0.0,0.0,3.0,201.0
1,1.0,1.0,3.0,5.0,3.0,0.0,3.0,165.0
1,7.0,1.0,3.0,3.0,0.0,0.0,5.0,182.0
1,0.0,1.0,2.0,3.0,3.0,1.0,4.0,124.0
0,9.0,1.0,3.0,2.0,4.0,0.0,9.0,160.0
0,7.0,1.0,3.0,2.0,4.0,1.0,3.0,187.0
0,16.0,1.0,4.0,4.0,3.0,0.0,1.0,146.0
0,3.0,1.0,2.0,4.0,4.0,0.0,7.0,146.0
0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,120.0
0,11.0,1.0,2.0,3.0,3.0,1.0,0.0,120.0
0,21.0,1.0,4.0,4.0,4.0,0.0,8.0,187.0
1,0.0,1.0,2.0,1.0,3.0,0.0,14.0,196.24
0,13.0,1.0,2.0,4.0,0.0,0.0,8.0,239.0
1,1.0,3.0,3.0,5.0,3.0,0.0,3.0,145.0
0,9.0,2.0,4.0,4.0,3.0,0.0,5.0,161.0
0,21.0,3.0,3.0,2.0,6.0,0.0,3.0,285.0
0,5.0,1.0,3.0,4.0,3.0,0.0,2.0,129.0
1,1.0,3.0,3.0,4.0,2.0,0.0,1.0,142.0
0,25.0,1.0,3.0,3.0,4.0,1.0,9.0,161.0
0,17.0,1.0,3.0,4.0,2.0,1.0,2.0,128.0
1,1.0,1.0,3.0,2.0,3.0,0.0,3.0,153.0
0,26.0,1.0,2.0,3.0,4.0,0.0,2.0,125.0
0,10.0,3.0,4.0,5.0,0.0,0.0,5.0,201.0
0,6.0,1.0,4.0,5.0,3.0,0.0,3.0,152.0
0,4.0,1.0,2.0,5.0,4.0,0.0,4.0,143.0
0,14.0,3.0,4.0,4.0,4.0,0.0,1.0,168.0
0,10.0,1.0,3.0,3.0,4.0,0.0,3.0,164.0
0,0.0,1.0,2.0,3.0,3.0,0.0,2.0,122.0
0,3.0,3.0,2.0,3.0,4.0,0.0,7.0,153.0
1,8.0,1.0,3.0,4.0,3.0,1.0,1.0,159.0
0,10.0,1.0,3.0,4.0,0.0,1.0,8.0,213.0
