monthly_income,num_active_bnpl_plans,total_bnpl_amount,average_emi,bnpl_income_ratio,Financial_Stress,Emi_delayed
149794,2,15000,7500.0,0.05006876109857538,Low Risk,0
110632,3,18984,6328.0,0.057198640537999855,Low Risk,0
73819,2,66700,33350.0,0.4517807068640865,Medium Risk,1
179648,4,18516,4629.0,0.025767055575347347,Low Risk,0
56938,3,43830,14610.0,0.25659489269029473,Risky,1
195100,1,7147,7147.0,0.036632496155817526,Low Risk,0
58461,1,15410,15410.0,0.2635945331075418,Risky,1
108474,2,6189,3094.5,0.028527573427733835,Low Risk,0
186541,2,19660,9830.0,0.052696190113701545,Low Risk,0
98136,3,35802,11934.0,0.12160674981658107,Low Risk,0
35435,1,10334,10334.0,0.2916325666713701,Risky,1
173458,0,0,0.0,0.0,Low Risk,0
177793,1,13383,13383.0,0.0752729297553897,Low Risk,0
69786,0,0,0.0,0.0,Low Risk,0
28704,2,25478,12739.0,0.4438057413600892,Medium Risk,1
148195,1,16604,16604.0,0.11204156685448227,Low Risk,0
127752,1,7402,7402.0,0.05794038449495898,Low Risk,0
171488,0,0,0.0,0.0,Low Risk,0
147886,2,2690,1345.0,0.009094843325264055,Low Risk,0
93537,3,17826,5942.0,0.06352566364112597,Low Risk,0
65258,1,36920,36920.0,0.5657543902663275,Medium Risk,1
162580,2,31089,15544.5,0.0956113913150449,Low Risk,0
128710,1,12353,12353.0,0.09597544868308601,Low Risk,0
50699,3,28272,9424.0,0.18588137833093354,Low Risk,0
61335,0,0,0.0,0.0,Low Risk,0
61806,0,0,0.0,0.0,Low Risk,0
50739,4,51564,12891.0,0.254064920475374,Risky,1
49785,2,66292,33146.0,0.6657828663251983,Risky,1
178052,0,0,0.0,0.0,Low Risk,0
100016,2,73878,36939.0,0.3693309070548712,Medium Risk,1
147681,3,4050,1350.0,0.009141324882686331,Low Risk,0
81253,3,31500,10500.0,0.12922599780931165,Low Risk,0
176081,1,52884,52884.0,0.3003390485060853,Medium Risk,1
142581,1,14015,14015.0,0.09829500424320212,Low Risk,0
125966,3,17202,5734.0,0.0455202197418351,Low Risk,0
172005,2,35648,17824.0,0.10362489462515624,Low Risk,0
92154,2,25474,12737.0,0.13821429346528638,Low Risk,0
123297,2,35590,17795.0,0.14432630153207296,Low Risk,0
127138,3,57342,19114.0,0.15034057480847582,Low Risk,0
65772,2,30572,15286.0,0.23240892781122666,Risky,1
55149,3,42807,14269.0,0.25873542584634357,Risky,1
101700,1,38716,38716.0,0.3806882989183874,Medium Risk,1
173598,1,1549,1549.0,0.00892291385845459,Low Risk,0
111758,2,30904,15452.0,0.1382630326240627,Low Risk,0
143447,3,77284,25761.33,0.17958779200680391,Low Risk,0
62947,1,4588,4588.0,0.07288671421989928,Low Risk,0
193296,1,3536,3536.0,0.01829318765002897,Low Risk,0
60865,2,18596,9298.0,0.15276431446644212,Low Risk,0
119501,1,52356,52356.0,0.43812185672086423,Medium Risk,1
75410,1,11411,11411.0,0.15131945365336164,Low Risk,0
118754,1,17650,17650.0,0.14862657257860787,Low Risk,0
170888,2,20360,10180.0,0.05957118112447919,Low Risk,0
130700,1,10252,10252.0,0.07843917368018363,Low Risk,0
88914,2,7092,3546.0,0.0398812335515217,Low Risk,0
16881,0,0,0.0,0.0,Low Risk,0
185639,2,46800,23400.0,0.12605109917635843,Low Risk,0
62365,1,8016,8016.0,0.1285336326465165,Low Risk,0
94211,2,2802,1401.0,0.014870874950908069,Low Risk,0
168903,2,15939,7969.5,0.04718388660947408,Low Risk,0
162531,1,12644,12644.0,0.07779438999329359,Low Risk,0
188388,3,52413,17471.0,0.09273945261906279,Low Risk,0
151949,1,17303,17303.0,0.11387373395020697,Low Risk,0
54553,2,14558,7279.0,0.13342987553388447,Low Risk,0
150994,1,19589,19589.0,0.12973363179993908,Low Risk,0
150758,0,0,0.0,0.0,Low Risk,0
47766,2,28539,14269.5,0.2987375957794247,Risky,1
46422,3,17808,5936.0,0.12787040627288784,Low Risk,0
131590,1,5672,5672.0,0.043103579299338855,Low Risk,0
169599,2,12840,6420.0,0.03785399678064139,Low Risk,0
164515,0,0,0.0,0.0,Low Risk,0
162596,4,90282,22570.5,0.13881337794287682,Low Risk,0
131477,2,11440,5720.0,0.04350570822273097,Low Risk,0
43202,2,17914,8957.0,0.2073283644275728,Low Risk,1
192214,0,0,0.0,0.0,Low Risk,0
76692,3,28632,9544.0,0.12444583528920879,Low Risk,0
35855,0,0,0.0,0.0,Low Risk,0
64241,1,15474,15474.0,0.24087420806027304,Risky,1
109837,2,36026,18013.0,0.16399756002075802,Low Risk,0
109283,2,7972,3986.0,0.03647410850727011,Low Risk,0
162044,2,31916,15958.0,0.09847942534126533,Low Risk,0
135589,1,13531,13531.0,0.09979423109544285,Low Risk,0
81630,1,5626,5626.0,0.06892073992404753,Low Risk,0
119428,1,3262,3262.0,0.027313527815922563,Low Risk,0
198419,1,11353,11353.0,0.057217302778463756,Low Risk,0
141244,3,49677,16559.0,0.11723683837897539,Low Risk,0
84518,1,13312,13312.0,0.1575049101966445,Low Risk,0
191355,3,18720,6240.0,0.03260954769930234,Low Risk,0
135243,2,30610,15305.0,0.11316667036371568,Low Risk,0
27748,2,11986,5993.0,0.21597953005622028,Risky,1
167169,0,0,0.0,0.0,Low Risk,0
149164,1,49839,49839.0,0.3341221742511598,Medium Risk,1
68311,3,27633,9211.0,0.13483919134546413,Low Risk,0
37692,2,29030,14515.0,0.38509498036718665,Medium Risk,1
139954,1,39988,39988.0,0.28572245166268917,Risky,1
169934,1,17335,17335.0,0.10201019219226287,Low Risk,0
145035,1,6350,6350.0,0.04378253525011204,Low Risk,0
94507,2,10215,5107.5,0.054043615816817804,Low Risk,0
95152,0,0,0.0,0.0,Low Risk,0
19926,2,24312,12156.0,0.6100572116832279,Risky,1
50733,1,18989,18989.0,0.3742928665759959,Medium Risk,1
84855,1,19941,19941.0,0.23500088386070356,Risky,1
122445,1,4159,4159.0,0.03396627057046021,Low Risk,0
35323,1,7395,7395.0,0.2093536789060952,Low Risk,1
49578,1,13948,13948.0,0.281334462866594,Risky,1
79140,3,39396,13132.0,0.16593378822340157,Low Risk,0
98829,1,22086,22086.0,0.223476914670795,Risky,1
143867,2,11348,5674.0,0.03943920426505036,Low Risk,0
181421,3,14988,4996.0,0.027538157104194112,Low Risk,0
146763,2,31650,15825.0,0.10782690460129597,Low Risk,0
110598,1,3626,3626.0,0.03278540299101249,Low Risk,0
72062,3,31461,10487.0,0.14552746246287918,Low Risk,0
78928,3,37098,12366.0,0.15667443746199067,Low Risk,0
18121,2,11978,5989.0,0.3305005242536284,Medium Risk,1
98793,1,26042,26042.0,0.26360167218325187,Risky,1
43164,2,8760,4380.0,0.10147345009730331,Low Risk,0
40491,1,6689,6689.0,0.1651972043170087,Low Risk,0
74222,3,28809,9603.0,0.12938212389857454,Low Risk,0
169237,2,25419,12709.5,0.07509882590686434,Low Risk,0
18748,2,5352,2676.0,0.14273522509067635,Low Risk,0
131547,1,6282,6282.0,0.047754794864193026,Low Risk,0
75380,1,43128,43128.0,0.5721411514990714,Medium Risk,1
59331,1,41724,41724.0,0.7032411386964655,Risky,1
135617,0,0,0.0,0.0,Low Risk,0
192758,1,2067,2067.0,0.010723290343332054,Low Risk,0
90910,2,28802,14401.0,0.15840941590584093,Low Risk,0
150747,1,6252,6252.0,0.041473462158450915,Low Risk,0
92986,0,0,0.0,0.0,Low Risk,0
115766,1,14881,14881.0,0.12854378660401153,Low Risk,0
61418,2,52476,26238.0,0.42720375134325445,Medium Risk,1
41206,0,0,0.0,0.0,Low Risk,0
15287,3,37899,12633.0,0.826388434617649,Risky,1
166738,0,0,0.0,0.0,Low Risk,0
147233,2,21935,10967.5,0.07449077312830683,Low Risk,0
113064,2,23877,11938.5,0.10559063893016345,Low Risk,0
184823,2,21894,10947.0,0.05922964133251814,Low Risk,0
160830,1,1551,1551.0,0.009643723185972767,Low Risk,0
18178,1,1133,1133.0,0.06232808889866872,Low Risk,0
118306,2,33615,16807.5,0.14206802698088009,Low Risk,0
172699,2,57488,28744.0,0.1664398751585128,Low Risk,0
105417,2,58710,29355.0,0.2784655226386636,Risky,1
181494,2,8340,4170.0,0.022975966147641243,Low Risk,0
26984,2,23838,11919.0,0.441706196264453,Medium Risk,1
104312,2,35958,17979.0,0.172357926221336,Low Risk,0
98291,2,33166,16583.0,0.16871331047603544,Low Risk,0
22135,0,0,0.0,0.0,Low Risk,0
15320,1,4421,4421.0,0.2885770234986945,Risky,1
103774,0,0,0.0,0.0,Low Risk,0
113071,2,72004,36002.0,0.31840171219853014,Medium Risk,1
156842,1,7250,7250.0,0.046224863238163244,Low Risk,0
185393,0,0,0.0,0.0,Low Risk,0
61250,2,20244,10122.0,0.16525714285714285,Low Risk,0
88034,3,79352,26450.67,0.30045970874889244,Medium Risk,1
119940,1,14362,14362.0,0.11974320493580123,Low Risk,0
55130,0,0,0.0,0.0,Low Risk,0
195418,1,10476,10476.0,0.053608163014666,Low Risk,0
104904,2,4446,2223.0,0.021190803019903913,Low Risk,0
194515,0,0,0.0,0.0,Low Risk,0
117171,0,0,0.0,0.0,Low Risk,0
129456,1,15063,15063.0,0.11635613644790507,Low Risk,0
77559,1,11874,11874.0,0.15309635245426062,Low Risk,0
79892,2,74460,37230.0,0.46600410554248234,Medium Risk,1
85409,3,39780,13260.0,0.15525295929000457,Low Risk,0
135544,0,0,0.0,0.0,Low Risk,0
122340,1,50805,50805.0,0.4152770966159882,Medium Risk,1
48783,1,22286,22286.0,0.4568394727671525,Medium Risk,1
49152,1,17913,17913.0,0.36444091796875,Medium Risk,1
122049,1,5418,5418.0,0.04439200648919696,Low Risk,0
197574,4,41584,10396.0,0.0526182594875844,Low Risk,0
186541,2,13650,6825.0,0.03658713097924853,Low Risk,0
101483,2,4430,2215.0,0.021826315737611224,Low Risk,0
74754,0,0,0.0,0.0,Low Risk,0
102592,4,60476,15119.0,0.1473701653150343,Low Risk,0
109543,3,36729,12243.0,0.11176432998913668,Low Risk,0
58169,2,2264,1132.0,0.019460537399645858,Low Risk,0
194359,1,66224,66224.0,0.3407302980566889,Medium Risk,1
125168,1,2087,2087.0,0.01667359069410712,Low Risk,0
66033,3,34356,11452.0,0.17342843729650326,Low Risk,0
168263,1,18620,18620.0,0.11066009758532773,Low Risk,0
101803,2,7806,3903.0,0.03833875229610129,Low Risk,0
133843,1,1894,1894.0,0.01415090815358293,Low Risk,0
43992,2,13590,6795.0,0.15445990180032734,Low Risk,0
63803,1,35492,35492.0,0.5562747833173989,Medium Risk,1
124975,1,54825,54825.0,0.4386877375475095,Medium Risk,1
151269,0,0,0.0,0.0,Low Risk,0
56486,3,71740,23913.33,0.4233496795666183,Medium Risk,1
29859,2,32750,16375.0,0.5484108643959945,Medium Risk,1
173308,1,3393,3393.0,0.019577861379740116,Low Risk,0
47083,1,4694,4694.0,0.09969628103561795,Low Risk,0
126462,1,15911,15911.0,0.12581645079154213,Low Risk,0
162735,5,58275,11655.0,0.07161950410176053,Low Risk,0
34053,0,0,0.0,0.0,Low Risk,0
167225,1,19235,19235.0,0.1150246673643295,Low Risk,0
151319,1,15915,15915.0,0.10517515976182766,Low Risk,0
166883,3,38871,12957.0,0.07764122169424087,Low Risk,0
152207,3,7845,2615.0,0.017180550171805503,Low Risk,0
94267,1,20794,20794.0,0.22058620726235056,Risky,1
189718,1,11871,11871.0,0.06257181711803834,Low Risk,0
146004,1,4312,4312.0,0.029533437440070136,Low Risk,0
68687,3,27042,9014.0,0.1312329844075298,Low Risk,0
145976,2,8432,4216.0,0.028881459966021813,Low Risk,0
42564,4,48888,12222.0,0.2871440654073865,Risky,1
22697,2,29206,14603.0,0.6433889941401948,Risky,1
163118,1,23868,23868.0,0.14632352039627755,Low Risk,0
24615,0,0,0.0,0.0,Low Risk,0
145499,1,4448,4448.0,0.030570656843002357,Low Risk,0
135562,1,7047,7047.0,0.05198359422256975,Low Risk,0
86117,2,4428,2214.0,0.02570920956373306,Low Risk,0
93533,2,17750,8875.0,0.09488629681502785,Low Risk,0
87684,1,59676,59676.0,0.6805802654988368,Risky,1
94558,1,16225,16225.0,0.17158780854078978,Low Risk,0
52419,2,102264,51132.0,0.9754478338007211,Risky,1
48377,1,7263,7263.0,0.150133327821072,Low Risk,0
189188,2,63606,31803.0,0.16810262807366216,Low Risk,0
182706,2,16112,8056.0,0.04409269536851554,Low Risk,0
38382,2,30490,15245.0,0.39719139179823876,Medium Risk,1
168466,1,50034,50034.0,0.2969976137618273,Risky,1
82789,2,5040,2520.0,0.030438826414137143,Low Risk,0
146936,3,18729,6243.0,0.04248788588228889,Low Risk,0
114572,3,32073,10691.0,0.093312502182034,Low Risk,0
186294,1,40695,40695.0,0.21844503848755192,Risky,1
159738,1,18206,18206.0,0.1139741326422016,Low Risk,0
138664,0,0,0.0,0.0,Low Risk,0
125674,1,13523,13523.0,0.1076038003087353,Low Risk,0
84590,1,5286,5286.0,0.0624896559877054,Low Risk,0
142775,3,45045,15015.0,0.10516547014533356,Low Risk,0
81471,3,15021,5007.0,0.06145745111757558,Low Risk,0
58298,2,31984,15992.0,0.2743147277779684,Risky,1
63924,1,8758,8758.0,0.13700644515361993,Low Risk,0
55542,1,49914,49914.0,0.898671275791293,Risky,1
166317,2,79404,39702.0,0.23871281949530115,Risky,1
49753,1,30022,30022.0,0.6034208992422567,Risky,1
94788,2,35556,17778.0,0.18755538675781744,Low Risk,0
36316,0,0,0.0,0.0,Low Risk,0
30960,3,34464,11488.0,0.3710594315245478,Medium Risk,1
40216,3,38895,12965.0,0.32238412572110603,Medium Risk,1
178539,2,10574,5287.0,0.02961257764410017,Low Risk,0
127470,1,14589,14589.0,0.1144504589315133,Low Risk,0
88290,2,27844,13922.0,0.15768490202740967,Low Risk,0
65519,1,16373,16373.0,0.2498969764495795,Risky,1
64052,1,8194,8194.0,0.12792730906138763,Low Risk,0
29389,2,13566,6783.0,0.23080063969512402,Risky,1
83111,0,0,0.0,0.0,Low Risk,0
120058,2,35074,17537.0,0.14607106565160172,Low Risk,0
108715,2,21306,10653.0,0.09799015775192016,Low Risk,0
164696,1,3140,3140.0,0.019065429640064118,Low Risk,0
172753,1,34400,34400.0,0.1991282351102441,Low Risk,1
104524,0,0,0.0,0.0,Low Risk,0
96006,1,7153,7153.0,0.07450576005666312,Low Risk,0
39704,1,33903,33903.0,0.853893814225267,Risky,1
109913,1,6507,6507.0,0.05920136835497166,Low Risk,0
109108,0,0,0.0,0.0,Low Risk,0
22493,2,33182,16591.0,0.7376072555906282,Risky,1
84639,1,9310,9310.0,0.10999657368352651,Low Risk,0
149066,1,6984,6984.0,0.04685173010612749,Low Risk,0
62234,1,13304,13304.0,0.2137738213838095,Risky,1
22371,2,10700,5350.0,0.23914889812703946,Risky,1
62315,2,23764,11882.0,0.19067640215036508,Low Risk,1
94526,2,19022,9511.0,0.10061781943592239,Low Risk,0
162698,2,37642,18821.0,0.11568058611660868,Low Risk,0
101005,1,17415,17415.0,0.172417207068957,Low Risk,0
120573,2,5142,2571.0,0.021323181806872184,Low Risk,0
72514,0,0,0.0,0.0,Low Risk,0
198736,0,0,0.0,0.0,Low Risk,0
189131,2,16692,8346.0,0.04412814398485706,Low Risk,0
90986,3,74044,24681.33,0.27126513969182076,Risky,1
100959,0,0,0.0,0.0,Low Risk,0
32241,0,0,0.0,0.0,Low Risk,0
67975,1,12600,12600.0,0.18536226553880103,Low Risk,0
169226,2,39126,19563.0,0.11560280335173082,Low Risk,0
191022,0,0,0.0,0.0,Low Risk,0
159403,1,3724,3724.0,0.023362170097175085,Low Risk,0
101226,1,10605,10605.0,0.10476557406199988,Low Risk,0
99719,0,0,0.0,0.0,Low Risk,0
78014,2,6603,3301.5,0.042319327300228166,Low Risk,0
54346,1,11011,11011.0,0.20260920766937768,Low Risk,1
85411,1,11667,11667.0,0.13659833042582337,Low Risk,0
158326,0,0,0.0,0.0,Low Risk,0
174693,1,11551,11551.0,0.06612171065812597,Low Risk,0
91441,1,13664,13664.0,0.14942968690193678,Low Risk,0
99577,3,12264,4088.0,0.04105365696897878,Low Risk,0
188503,3,33624,11208.0,0.059457939661437746,Low Risk,0
115211,2,19328,9664.0,0.08388087942991555,Low Risk,0
150909,1,11080,11080.0,0.07342173097694638,Low Risk,0
195066,1,8925,8925.0,0.04575374488634616,Low Risk,0
158687,2,8640,4320.0,0.027223402043015495,Low Risk,0
16466,2,23428,11714.0,0.7114053200534435,Risky,1
80911,1,19632,19632.0,0.24263697148718963,Risky,1
166818,2,37870,18935.0,0.11350693570238224,Low Risk,0
103422,1,3447,3447.0,0.033329465684283806,Low Risk,0
88369,2,10618,5309.0,0.06007762903280562,Low Risk,0
111907,2,13488,6744.0,0.06026432662836105,Low Risk,0
114956,3,50196,16732.0,0.14555134138278994,Low Risk,0
133580,2,8016,4008.0,0.03000449169037281,Low Risk,0
179439,2,31182,15591.0,0.08688746593549897,Low Risk,0
167271,1,7365,7365.0,0.04403034596552899,Low Risk,0
72724,2,56928,28464.0,0.3913976128925802,Medium Risk,1
182477,1,24078,24078.0,0.13195087600081107,Low Risk,0
43931,0,0,0.0,0.0,Low Risk,0
24290,1,17355,17355.0,0.714491560312886,Risky,1
136136,1,2734,2734.0,0.020082858318152437,Low Risk,0
94878,1,14417,14417.0,0.15195303442315394,Low Risk,0
105477,2,13122,6561.0,0.06220313433260331,Low Risk,0
176205,0,0,0.0,0.0,Low Risk,0
120686,1,4812,4812.0,0.039872064696816534,Low Risk,0
111622,3,11310,3770.0,0.033774703911415314,Low Risk,0
150705,3,37620,12540.0,0.0832089180850005,Low Risk,0
163376,3,18540,6180.0,0.03782685339339927,Low Risk,0
122573,2,48924,24462.0,0.19957086797255513,Low Risk,1
61546,3,73336,24445.33,0.39718795697527054,Medium Risk,1
22008,2,23037,11518.5,0.5233778625954199,Medium Risk,1
173477,0,0,0.0,0.0,Low Risk,0
105909,3,93025,31008.33,0.2927827663371385,Risky,1
166899,3,61552,20517.33,0.1229326119389571,Low Risk,0
48040,1,18034,18034.0,0.3753955037468776,Medium Risk,1
75354,0,0,0.0,0.0,Low Risk,0
93543,2,6850,3425.0,0.03661417743711448,Low Risk,0
33157,3,64044,21348.0,0.6438459450493108,Risky,1
50315,1,1397,1397.0,0.027765079996025042,Low Risk,0
50932,0,0,0.0,0.0,Low Risk,0
167236,1,17944,17944.0,0.10729747183620751,Low Risk,0
160486,2,37524,18762.0,0.11690739379135875,Low Risk,0
160399,2,18792,9396.0,0.05857891882118966,Low Risk,0
128880,0,0,0.0,0.0,Low Risk,0
147018,1,13113,13113.0,0.08919316002122189,Low Risk,0
42241,2,47064,23532.0,0.5570890840652447,Medium Risk,1
130194,2,21794,10897.0,0.08369817349493833,Low Risk,0
110790,1,36192,36192.0,0.32667208231789874,Medium Risk,1
161612,1,17824,17824.0,0.11028883993762839,Low Risk,0
187275,1,5406,5406.0,0.028866639967961554,Low Risk,0
171153,1,28330,28330.0,0.16552441382856276,Low Risk,0
26350,2,25582,12791.0,0.485426944971537,Medium Risk,1
71809,1,42432,42432.0,0.5909008620089404,Medium Risk,1
116894,2,17298,8649.0,0.07399011069858162,Low Risk,0
112557,1,4877,4877.0,0.04332915767122436,Low Risk,0
188904,0,0,0.0,0.0,Low Risk,0
174441,2,27636,13818.0,0.07921302904707035,Low Risk,0
32576,1,5565,5565.0,0.17083128683693516,Low Risk,0
175073,1,5977,5977.0,0.03414004443860561,Low Risk,0
98384,0,0,0.0,0.0,Low Risk,0
15390,4,44752,11188.0,0.7269655620532813,Risky,1
60436,1,1841,1841.0,0.03046197630551327,Low Risk,0
26569,0,0,0.0,0.0,Low Risk,0
60875,1,19842,19842.0,0.3259466119096509,Medium Risk,1
95820,2,31965,15982.5,0.1667971195992486,Low Risk,0
114515,2,31812,15906.0,0.13889883421385846,Low Risk,0
24121,2,47637,23818.5,0.9874590605696282,Risky,1
16539,3,17838,5946.0,0.3595138762923998,Medium Risk,1
163099,2,34077,17038.5,0.10446722542750109,Low Risk,0
142402,1,15314,15314.0,0.10754062442943217,Low Risk,0
89229,2,33978,16989.0,0.19039774064485762,Low Risk,1
154993,1,18956,18956.0,0.12230229752311395,Low Risk,0
65435,2,42798,21399.0,0.32702682050890197,Medium Risk,1
156382,2,14480,7240.0,0.046296888388689235,Low Risk,0
78965,1,21170,21170.0,0.2680934591274615,Risky,1
126048,1,16776,16776.0,0.1330921553693831,Low Risk,0
111444,0,0,0.0,0.0,Low Risk,0
84922,2,2254,1127.0,0.013271001625020607,Low Risk,0
108948,2,25840,12920.0,0.11858868451004148,Low Risk,0
158314,1,15392,15392.0,0.0972245032024963,Low Risk,0
63785,1,3205,3205.0,0.05024692325781924,Low Risk,0
134963,1,9513,9513.0,0.07048598504775383,Low Risk,0
173223,2,16137,8068.5,0.046578687587676,Low Risk,0
26618,2,18134,9067.0,0.3406341573371403,Medium Risk,1
153426,2,55604,27802.0,0.18120787871677552,Low Risk,0
124598,2,23776,11888.0,0.09541084126550987,Low Risk,0
177051,1,10708,10708.0,0.060479748772952424,Low Risk,0
101436,4,62425,15606.25,0.15385316850033517,Low Risk,0
198846,5,90702,18140.4,0.09122838779759211,Low Risk,0
151109,4,60880,15220.0,0.10072199538081782,Low Risk,0
51483,0,0,0.0,0.0,Low Risk,0
128181,1,14604,14604.0,0.1139326421232476,Low Risk,0
134873,2,24904,12452.0,0.09232388988159232,Low Risk,0
131843,2,50595,25297.5,0.19187594335687144,Low Risk,1
185205,2,4034,2017.0,0.010890634702086876,Low Risk,0
110761,2,8094,4047.0,0.03653813165283809,Low Risk,0
146764,1,11260,11260.0,0.07672181188847402,Low Risk,0
43926,2,29788,14894.0,0.3390702545189637,Medium Risk,1
114782,1,25714,25714.0,0.22402467285811364,Risky,1
88984,3,25173,8391.0,0.09429785129910995,Low Risk,0
189462,2,10338,5169.0,0.027282515755138233,Low Risk,0
64593,2,37566,18783.0,0.2907900236867772,Risky,1
90609,2,35133,17566.5,0.19387146972155084,Low Risk,1
20209,1,13119,13119.0,0.6491662130733832,Risky,1
141700,2,9374,4687.0,0.03307692307692308,Low Risk,0
152605,2,34734,17367.0,0.11380361062874741,Low Risk,0
24927,3,53808,17936.0,0.7195410598948931,Risky,1
170666,0,0,0.0,0.0,Low Risk,0
91382,0,0,0.0,0.0,Low Risk,0
118780,1,5266,5266.0,0.04433406297356457,Low Risk,0
55696,1,23780,23780.0,0.4269606434932491,Medium Risk,1
82616,2,19970,9985.0,0.12086036603079307,Low Risk,0
152161,2,28098,14049.0,0.0923298348459855,Low Risk,0
179744,0,0,0.0,0.0,Low Risk,0
138723,1,14208,14208.0,0.10241993036482774,Low Risk,0
190220,0,0,0.0,0.0,Low Risk,0
170918,1,14021,14021.0,0.08203348974361975,Low Risk,0
168267,2,40800,20400.0,0.12123589295583805,Low Risk,0
20606,2,23002,11501.0,0.5581384062894302,Medium Risk,1
150028,2,28266,14133.0,0.0942024155490975,Low Risk,0
105385,1,11885,11885.0,0.11277696066802675,Low Risk,0
73502,1,8931,8931.0,0.12150689777148921,Low Risk,0
194921,1,29398,29398.0,0.15082007582559087,Low Risk,0
172419,1,3804,3804.0,0.022062533711481914,Low Risk,0
118844,2,34272,17136.0,0.14418902090134966,Low Risk,0
113234,2,25550,12775.0,0.11281947118356678,Low Risk,0
56850,1,11681,11681.0,0.20547053649956024,Low Risk,1
42843,2,47754,23877.0,0.5573139135914852,Medium Risk,1
185588,1,16854,16854.0,0.09081406125396038,Low Risk,0
163929,2,45267,22633.5,0.13806892008125468,Low Risk,0
34627,0,0,0.0,0.0,Low Risk,0
70798,0,0,0.0,0.0,Low Risk,0
119186,2,7092,3546.0,0.02975181648851375,Low Risk,0
174629,2,28474,14237.0,0.08152712321550258,Low Risk,0
86334,4,62832,15708.0,0.18194454096879561,Low Risk,0
27720,2,21024,10512.0,0.37922077922077924,Medium Risk,1
72608,1,9774,9774.0,0.13461326575583957,Low Risk,0
117828,1,9622,9622.0,0.08166140475947992,Low Risk,0
141613,3,17049,5683.0,0.040130496493965946,Low Risk,0
111452,1,18647,18647.0,0.16730969385923986,Low Risk,0
121975,0,0,0.0,0.0,Low Risk,0
