user_id,age,monthly_income,orders_per_month,avg_order_amount,num_active_bnpl_plans,total_bnpl_amount,average_emi,total_monthly_emi,dti_ratio,bnpl_utilization_ratio,repayment_delay_count,last_payment_delay_days,on_time_repayment_rate,spending_volatility,impulse_purchase_count,risk_label
128,43,152854,1,13871,1,13871,13871.0,13871.0,0.09,0.09,0,9,1.0,0.07,3,Low
129,59,114352,1,16162,0,16162,0.0,0.0,0.0,0.14,0,8,1.0,0.47,1,Risky
130,30,172005,2,17824,2,35648,17824.0,35648.0,0.21,0.21,0,28,1.0,0.28,3,Medium
131,49,92154,2,12737,2,25474,12737.0,25474.0,0.28,0.28,0,24,1.0,0.2,3,Medium
132,56,154379,2,10659,0,21318,0.0,0.0,0.0,0.14,0,29,1.0,0.34,1,Risky
133,49,123297,2,17795,2,35590,17795.0,35590.0,0.29,0.29,0,16,1.0,0.1,2,Low
134,21,53346,3,1813,0,5439,0.0,0.0,0.0,0.1,1,11,0.8,0.19,0,Medium
135,47,127138,3,19114,3,57342,19114.0,57342.0,0.45,0.45,0,3,1.0,0.02,2,Medium
136,54,65772,4,7643,2,30572,15286.0,30572.0,0.46,0.46,3,8,0.4,0.44,4,Risky
137,40,55149,3,14269,3,42807,14269.0,42807.0,0.78,0.78,0,13,1.0,0.21,1,Risky
138,56,101700,2,19358,1,38716,38716.0,38716.0,0.38,0.38,3,3,0.4,0.38,3,Risky
139,32,173598,1,1549,1,1549,1549.0,1549.0,0.01,0.01,1,29,0.8,0.46,2,Risky
140,46,111758,2,15452,2,30904,15452.0,30904.0,0.28,0.28,0,1,1.0,0.33,3,Risky
141,53,143447,4,19321,3,77284,25761.33,77284.0,0.54,0.54,0,17,1.0,0.19,0,Risky
142,30,20695,1,1203,0,1203,0.0,0.0,0.0,0.06,2,12,0.6,0.31,3,Risky
143,49,54169,2,16718,1,33436,33436.0,33436.0,0.62,0.62,4,9,0.2,0.18,2,Risky
144,24,62947,1,4588,1,4588,4588.0,4588.0,0.07,0.07,5,13,0.0,0.28,1,Risky
145,39,193296,1,3536,1,3536,3536.0,3536.0,0.02,0.02,0,8,1.0,0.22,1,Medium
146,45,60865,2,9298,2,18596,9298.0,18596.0,0.31,0.31,0,10,1.0,0.07,4,Medium
147,19,171625,1,3701,0,3701,0.0,0.0,0.0,0.02,0,19,1.0,0.39,6,Risky
148,59,119501,4,13089,1,52356,52356.0,52356.0,0.44,0.44,0,0,1.0,0.25,2,Medium
149,23,75410,1,11411,1,11411,11411.0,11411.0,0.15,0.15,0,11,1.0,0.1,4,Low
150,45,118754,2,8825,1,17650,17650.0,17650.0,0.15,0.15,0,28,1.0,0.45,3,Risky
151,45,105895,1,6974,1,6974,6974.0,6974.0,0.07,0.07,1,16,0.8,0.43,3,Risky
152,37,170888,4,5090,2,20360,10180.0,20360.0,0.12,0.12,1,16,0.8,0.28,0,Medium
153,47,65705,3,11559,0,34677,0.0,0.0,0.0,0.53,0,7,1.0,0.49,2,Risky
154,28,130700,1,10252,1,10252,10252.0,10252.0,0.08,0.08,0,16,1.0,0.46,1,Risky
155,45,88914,2,3546,2,7092,3546.0,7092.0,0.08,0.08,0,20,1.0,0.45,2,Risky
156,42,16881,0,4736,0,0,0.0,0.0,0.0,0.0,2,24,0.6,0.07,1,Medium
157,56,185639,3,15600,2,46800,23400.0,46800.0,0.25,0.25,3,19,0.4,0.15,3,Risky
158,50,62365,3,2672,1,8016,8016.0,8016.0,0.13,0.13,0,26,1.0,0.21,2,Medium
159,18,94211,2,1401,2,2802,1401.0,2802.0,0.03,0.03,0,24,1.0,0.42,3,Risky
160,44,171078,4,16322,0,65288,0.0,0.0,0.0,0.38,0,20,1.0,0.44,1,Risky
161,30,56198,2,12191,1,24382,24382.0,24382.0,0.43,0.43,0,12,1.0,0.38,3,Risky
162,58,168903,3,5313,2,15939,7969.5,15939.0,0.09,0.09,0,24,1.0,0.24,3,Medium
163,20,115649,1,15665,0,15665,0.0,0.0,0.0,0.14,0,12,1.0,0.08,2,Low
164,56,162531,1,12644,1,12644,12644.0,12644.0,0.08,0.08,0,14,1.0,0.02,5,Low
165,23,178515,4,12826,1,51304,51304.0,51304.0,0.29,0.29,1,17,0.8,0.35,1,Risky
166,25,188388,3,17471,3,52413,17471.0,52413.0,0.28,0.28,0,29,1.0,0.5,1,Risky
167,44,151949,1,17303,1,17303,17303.0,17303.0,0.11,0.11,0,12,1.0,0.17,3,Medium
168,26,54553,2,7279,2,14558,7279.0,14558.0,0.27,0.27,1,7,0.8,0.28,1,Medium
169,54,150994,1,19589,1,19589,19589.0,19589.0,0.13,0.13,2,6,0.6,0.41,2,Risky
170,50,137778,1,3967,0,3967,0.0,0.0,0.0,0.03,0,22,1.0,0.09,1,Low
171,59,132018,1,5250,1,5250,5250.0,5250.0,0.04,0.04,0,18,1.0,0.41,2,Risky
172,41,150758,0,4238,0,0,0.0,0.0,0.0,0.0,2,9,0.6,0.31,2,Risky
173,32,47766,3,9513,2,28539,14269.5,28539.0,0.6,0.6,0,11,1.0,0.28,1,Risky
174,49,47006,1,3738,1,3738,3738.0,3738.0,0.08,0.08,0,1,1.0,0.38,2,Risky
175,49,46422,3,5936,3,17808,5936.0,17808.0,0.38,0.38,0,26,1.0,0.12,1,Medium
176,41,131590,2,2836,1,5672,5672.0,5672.0,0.04,0.04,1,13,0.8,0.31,1,Risky
177,58,27205,1,19943,1,19943,19943.0,19943.0,0.73,0.73,0,9,1.0,0.12,3,Risky
178,29,169599,5,2568,2,12840,6420.0,12840.0,0.08,0.08,1,16,0.8,0.09,1,Medium
179,56,164515,0,11514,0,0,0.0,0.0,0.0,0.0,0,12,1.0,0.31,2,Risky
180,19,162596,6,15047,4,90282,22570.5,90282.0,0.56,0.56,0,0,1.0,0.13,2,Risky
181,20,131477,2,5720,2,11440,5720.0,11440.0,0.09,0.09,0,22,1.0,0.36,1,Risky
182,54,43202,2,8957,2,17914,8957.0,17914.0,0.41,0.41,0,24,1.0,0.26,3,Medium
183,34,192214,0,12155,0,0,0.0,0.0,0.0,0.0,0,14,1.0,0.35,0,Risky
184,19,76692,3,9544,3,28632,9544.0,28632.0,0.37,0.37,0,0,1.0,0.45,3,Risky
185,19,35855,0,7525,0,0,0.0,0.0,0.0,0.0,0,14,1.0,0.07,2,Low
186,45,40095,1,17083,1,17083,17083.0,17083.0,0.43,0.43,0,25,1.0,0.03,2,Medium
187,40,184796,0,8935,0,0,0.0,0.0,0.0,0.0,0,19,1.0,0.2,2,Medium
188,54,64241,2,7737,1,15474,15474.0,15474.0,0.24,0.24,1,14,0.8,0.36,2,Risky
189,49,118119,0,3540,0,0,0.0,0.0,0.0,0.0,1,13,0.8,0.44,2,Risky
190,50,67003,2,18218,0,36436,0.0,0.0,0.0,0.54,0,12,1.0,0.02,0,Low
191,18,109837,2,18013,2,36026,18013.0,36026.0,0.33,0.33,0,1,1.0,0.4,4,Risky
192,36,109283,2,3986,2,7972,3986.0,7972.0,0.07,0.07,0,29,1.0,0.04,2,Low
193,19,162044,2,15958,2,31916,15958.0,31916.0,0.2,0.2,1,7,0.8,0.29,2,Medium
194,43,138805,5,7485,0,37425,0.0,0.0,0.0,0.27,1,8,0.8,0.17,6,Medium
195,49,108846,1,12772,0,12772,0.0,0.0,0.0,0.12,0,18,1.0,0.01,3,Low
196,23,37927,3,11152,0,33456,0.0,0.0,0.0,0.88,2,18,0.6,0.05,2,Medium
197,49,135589,1,13531,1,13531,13531.0,13531.0,0.1,0.1,4,22,0.2,0.18,6,Risky
198,21,130657,1,6867,0,6867,0.0,0.0,0.0,0.05,4,8,0.2,0.48,3,Risky
199,28,81630,1,5626,1,5626,5626.0,5626.0,0.07,0.07,5,22,0.0,0.08,1,Risky
200,34,119428,1,3262,1,3262,3262.0,3262.0,0.03,0.03,2,27,0.6,0.14,1,Medium
201,55,137035,3,3414,1,10242,10242.0,10242.0,0.07,0.07,0,29,1.0,0.5,2,Risky
202,41,198419,1,11353,1,11353,11353.0,11353.0,0.06,0.06,0,28,1.0,0.24,4,Medium
203,22,141244,3,16559,3,49677,16559.0,49677.0,0.35,0.35,2,6,0.6,0.13,2,Medium
204,51,84518,1,13312,1,13312,13312.0,13312.0,0.16,0.16,0,13,1.0,0.31,2,Risky
205,23,191355,3,6240,3,18720,6240.0,18720.0,0.1,0.1,0,1,1.0,0.22,1,Medium
206,39,96326,0,15053,0,0,0.0,0.0,0.0,0.0,0,11,1.0,0.43,4,Risky
207,28,158277,2,10049,1,20098,20098.0,20098.0,0.13,0.13,1,10,0.8,0.0,2,Medium
208,33,135243,5,6122,2,30610,15305.0,30610.0,0.23,0.23,0,16,1.0,0.5,1,Risky
209,50,27748,2,5993,2,11986,5993.0,11986.0,0.43,0.43,0,1,1.0,0.03,1,Medium
210,26,167169,0,19876,0,0,0.0,0.0,0.0,0.0,1,27,0.8,0.27,1,Medium
211,23,149164,3,16613,1,49839,49839.0,49839.0,0.33,0.33,4,21,0.2,0.35,6,Risky
212,33,68311,3,9211,3,27633,9211.0,27633.0,0.4,0.4,0,27,1.0,0.27,4,Medium
213,46,37692,2,14515,2,29030,14515.0,29030.0,0.77,0.77,1,11,0.8,0.15,2,Risky
214,20,139954,4,9997,1,39988,39988.0,39988.0,0.29,0.29,0,29,1.0,0.43,3,Risky
215,37,169934,1,17335,1,17335,17335.0,17335.0,0.1,0.1,0,25,1.0,0.22,1,Medium
216,53,145035,2,3175,1,6350,6350.0,6350.0,0.04,0.04,0,14,1.0,0.15,2,Medium
217,36,94507,3,3405,2,10215,5107.5,10215.0,0.11,0.11,2,28,0.6,0.38,2,Risky
218,43,95152,0,8341,0,0,0.0,0.0,0.0,0.0,3,7,0.4,0.07,3,Risky
219,20,19926,2,12156,2,24312,12156.0,24312.0,1.22,1.22,1,7,0.8,0.1,2,Risky
220,36,18969,1,16963,0,16963,0.0,0.0,0.0,0.89,0,21,1.0,0.13,4,Low
221,37,50733,1,18989,1,18989,18989.0,18989.0,0.37,0.37,1,17,0.8,0.22,1,Medium
222,49,84855,1,19941,1,19941,19941.0,19941.0,0.24,0.24,0,13,1.0,0.01,5,Low
223,24,56743,5,16779,0,83895,0.0,0.0,0.0,1.48,0,24,1.0,0.5,0,Risky
224,58,145193,4,19426,1,77704,77704.0,77704.0,0.54,0.54,1,9,0.8,0.3,2,Risky
225,50,185948,2,1778,0,3556,0.0,0.0,0.0,0.02,1,3,0.8,0.49,1,Risky
226,57,122445,1,4159,1,4159,4159.0,4159.0,0.03,0.03,2,15,0.6,0.4,2,Risky
227,56,35323,1,7395,1,7395,7395.0,7395.0,0.21,0.21,0,15,1.0,0.07,1,Low
228,35,31428,0,2746,0,0,0.0,0.0,0.0,0.0,2,28,0.6,0.1,1,Medium
229,57,49578,2,6974,1,13948,13948.0,13948.0,0.28,0.28,0,20,1.0,0.02,0,Low
230,18,101486,1,6150,1,6150,6150.0,6150.0,0.06,0.06,0,16,1.0,0.42,4,Risky
231,28,79140,3,13132,3,39396,13132.0,39396.0,0.5,0.5,2,8,0.6,0.3,2,Medium
232,45,122325,4,17804,0,71216,0.0,0.0,0.0,0.58,0,10,1.0,0.11,4,Low
233,42,98829,2,11043,1,22086,22086.0,22086.0,0.22,0.22,0,26,1.0,0.49,1,Risky
234,40,21364,1,19492,1,19492,19492.0,19492.0,0.91,0.91,1,26,0.8,0.37,6,Risky
235,48,143867,2,5674,2,11348,5674.0,11348.0,0.08,0.08,2,25,0.6,0.35,4,Risky
236,47,181421,3,4996,3,14988,4996.0,14988.0,0.08,0.08,0,12,1.0,0.13,5,Low
237,59,146763,3,10550,2,31650,15825.0,31650.0,0.22,0.22,0,0,1.0,0.16,0,Medium
238,52,110598,1,3626,1,3626,3626.0,3626.0,0.03,0.03,1,6,0.8,0.33,4,Risky
239,24,191968,2,1490,0,2980,0.0,0.0,0.0,0.02,1,10,0.8,0.3,2,Medium
240,33,72062,3,10487,3,31461,10487.0,31461.0,0.44,0.44,2,24,0.6,0.32,4,Risky
241,43,159933,1,11273,0,11273,0.0,0.0,0.0,0.07,1,2,0.8,0.44,2,Risky
242,19,103302,2,14684,0,29368,0.0,0.0,0.0,0.28,0,1,1.0,0.08,1,Low
243,18,78928,3,12366,3,37098,12366.0,37098.0,0.47,0.47,0,13,1.0,0.06,4,Medium
244,29,56347,0,16906,0,0,0.0,0.0,0.0,0.0,0,9,1.0,0.28,4,Medium
245,22,18121,2,5989,2,11978,5989.0,11978.0,0.66,0.66,0,23,1.0,0.25,0,Risky
246,54,98793,2,13021,1,26042,26042.0,26042.0,0.26,0.26,0,19,1.0,0.2,0,Medium
247,49,43164,2,4380,2,8760,4380.0,8760.0,0.2,0.2,0,16,1.0,0.45,1,Risky
248,26,40491,1,6689,1,6689,6689.0,6689.0,0.17,0.17,0,7,1.0,0.28,1,Medium
249,58,74222,3,9603,3,28809,9603.0,28809.0,0.39,0.39,0,14,1.0,0.28,1,Medium
250,52,169237,3,8473,2,25419,12709.5,25419.0,0.15,0.15,0,21,1.0,0.18,2,Medium
251,36,18748,2,2676,2,5352,2676.0,5352.0,0.29,0.29,0,5,1.0,0.17,0,Medium
252,33,41553,0,8790,0,0,0.0,0.0,0.0,0.0,0,19,1.0,0.49,0,Risky
253,20,131547,1,6282,1,6282,6282.0,6282.0,0.05,0.05,0,21,1.0,0.31,5,Risky
254,37,75380,3,14376,1,43128,43128.0,43128.0,0.57,0.57,0,1,1.0,0.41,3,Risky
255,41,59331,4,10431,1,41724,41724.0,41724.0,0.7,0.7,0,21,1.0,0.22,4,Risky
256,50,135617,0,1602,0,0,0.0,0.0,0.0,0.0,1,14,0.8,0.1,3,Medium
257,41,54560,0,2937,0,0,0.0,0.0,0.0,0.0,2,15,0.6,0.16,1,Medium
258,28,68865,2,7812,0,15624,0.0,0.0,0.0,0.23,0,1,1.0,0.17,2,Medium
259,25,192758,1,2067,1,2067,2067.0,2067.0,0.01,0.01,1,21,0.8,0.28,1,Medium
260,53,90910,2,14401,2,28802,14401.0,28802.0,0.32,0.32,1,13,0.8,0.08,1,Medium
261,55,150747,1,6252,1,6252,6252.0,6252.0,0.04,0.04,0,24,1.0,0.19,2,Medium
262,57,92986,0,14472,0,0,0.0,0.0,0.0,0.0,3,22,0.4,0.05,2,Risky
